product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
ilsWDSWmR8dX,bed_bath_table,1100,50,12,12
ro08JPncYzLh,garden_tools,1650,30,22,30
K1jVWpZuIp99,bed_bath_table,700,16,10,16
brKswOkWPtqO,furniture_decor,650,20,35,20
zMU1MG3ipApS,furniture_decor,228,17,12,15
qwwmgwg8mrv9,housewares,1050,100,3,15
tHa90Bwd7K6b,watches_gifts,200,16,2,11
Biwi1BNtUB7l,toys,1500,30,22,30
cjdU7fLbltoD,toys,600,26,22,14
sNtRBW3JfRjj,,400,18,7,17
GvBzGCvvIC2D,toys,1000,53,8,18
OEXGtELQiaDH,toys,125,23,13,21
6DyLRMYe3KmP,watches_gifts,200,16,2,11
mhKWhwfwHCSR,toys,300,21,11,21
qOiDnN39CMGm,toys,6550,38,30,28
T58tBW6zFi3S,toys,2200,30,35,30
kbaoSmgfO9zQ,toys,250,16,2,11
8kUYWjdaVCxf,toys,250,41,2,29
SRT6nggjSWOh,fashion_bags_accessories,100,21,9,14
rhSa7tuppbwK,toys,700,18,8,13
DXG0TFaZjGHO,toys,200,16,7,11
XqmdGKRbTetH,toys,160,19,11,14
z3XHloP0B6UK,toys,150,16,7,16
Y9RZLlJmz7ht,toys,125,16,12,12
zxZl4F5tafUt,toys,350,20,6,12
O4e1ti4UFBuS,toys,300,21,6,17
1WWn9nDpPiWt,toys,4300,18,15,25
0DoQRZJFrIMa,toys,650,24,14,18
08pj5e74HPRV,toys,2400,16,31,39
wEXYeIBMtNpz,toys,1700,65,6,50
VCOwCoc0C3aj,toys,1200,30,4,20
K7g5D7Q3uyjT,toys,329,18,18,15
VyvqSoUrvQ46,toys,363,18,13,13
LKyozPiK7F82,toys,700,26,14,24
CpeCg2UGCL6P,toys,250,40,4,30
iRfmqpDKq7k7,toys,1700,34,7,32
hBVeRiNmH8jL,toys,3625,29,38,26
59VGuT6xcW9Q,toys,200,19,4,11
Y74w5wq3OKED,toys,175,22,9,12
mOL0X56BS1KZ,toys,600,16,25,11
GikeTHjLgt3b,toys,550,30,3,19
AZAmqF3BVIIy,toys,4025,46,12,43
VcU0FP9DjfBt,toys,550,40,5,30
6Ww1i7qd1Zqu,cool_stuff,1200,42,25,15
97I7i6BQRjqd,toys,200,28,10,13
qXKeJv9t9Nyw,toys,8333,59,31,75
vmzoh7xknu6D,toys,700,22,6,18
jdkNsNMtb2Ca,toys,10450,80,15,33
CY8OZ3lT9uqB,telephony,250,18,3,28
J7BBTiopz4jB,toys,200,16,6,14
1LoGNpatQYCz,perfumery,400,18,11,11
fC7bzSMm84mv,toys,250,20,3,20
pVKDSWeIqCF7,toys,448,22,17,17
ZkSByCmyfzzB,bed_bath_table,850,35,15,25
tJu4snkPQ0sR,toys,2300,33,48,35
vHnEPJP2R48s,toys,9000,42,12,39
OkyIKp57HLVU,health_beauty,250,17,12,12
DaivdXZGpmHa,toys,8900,37,41,37
do5FzqByACmw,toys,75,16,16,16
6Ww1i7qd1Zqu,cool_stuff,1200,42,25,15
wGtSb0qa15YW,toys,245,19,14,14
Wb0dB6FB7JP0,toys,2050,20,20,27
LsWdEU0owocj,toys,1500,27,6,23
gSh7ZmJHuSAK,toys,3325,32,31,28
T3rhOgD5vNl1,toys,10750,31,61,31
ZYR8Xg6War3A,toys,250,15,8,20
LX6vwvFIFbpm,toys,700,41,23,25
VyvqSoUrvQ46,toys,363,18,13,13
U7gcjsv9nQUO,toys,400,30,5,48
L6hOpvbiwzZ2,toys,2200,50,20,40
L4YNs2AaGrBZ,toys,307,27,27,29
Fbtx8c1gFlsQ,toys,600,18,19,18
ZVTEwIdUj6Kw,toys,600,28,4,16
lwgk37tHKwST,toys,250,16,11,11
7S9VbkGAgNC9,toys,300,16,18,16
P5BcSHy2T8HI,audio,200,27,5,20
Hg8SbMvNB9lM,toys,1130,32,25,23
CPAwvQzUlyNs,toys,175,15,15,11
ymZvN9XtTHxn,toys,1110,19,11,18
GoWu7m0fsQmB,toys,1700,28,50,24
xFlYjBaMbnFc,toys,6250,59,9,37
J0tUAHt1CNVI,toys,9850,29,66,29
f6HGOx5sd7oo,toys,650,23,15,15
WfPdjOE3o8GV,sports_leisure,500,24,20,20
PWl2yBtu82h0,perfumery,250,20,8,21
1LoGNpatQYCz,perfumery,400,18,11,11
1NPpfRuxHxBw,health_beauty,550,20,20,20
wPiV60HYX55Z,toys,1200,64,11,15
jH5jFTXRGx8z,toys,650,19,3,11
irVQGaoUyQmk,toys,200,20,30,25
Fg87Bp5T7JRg,toys,400,16,4,16
VX3SZqpO3mD0,toys,1500,30,10,17
krv8FWuLVJ2A,toys,183,18,9,13
und5MPZvDEEG,toys,2550,35,28,22
9ouNDAZPKapa,toys,2200,16,11,11
kX7oZABYupC7,toys,500,16,22,15
wjG4zdMmY00M,toys,1350,35,10,35
Niywnp3i2d3W,toys,1400,35,10,35
8a9VQQHGkT0J,toys,16900,37,65,37
t8VzSdZc45vv,electronics,900,24,12,12
0XyYmaoLSH4j,computers_accessories,180,16,9,16
AZCgZlCv37nj,toys,450,24,7,12
MXIDpBL8zOVA,toys,1350,27,9,18
55v97b7FKhEm,furniture_mattress_and_upholstery,1850,41,21,21
YoWJiMrFBYAo,toys,150,26,16,16
Wm1k1kx2RYQ8,furniture_decor,1170,22,12,20
ZeMdY9hO43n5,toys,5550,36,51,18
oyHRoKBexOF0,toys,400,35,4,25
7SbxZe82YD4g,toys,427,15,17,14
JrpQEjt4Ga6O,toys,325,19,8,22
7LZqFKZE7qqd,toys,6800,65,25,25
Wo11fipvb6ym,baby,195,15,11,12
9hsRgO81MHGS,toys,575,17,7,14
CKTiEGaIRVPU,toys,900,28,20,20
TSoCeiCbvYVM,toys,250,30,20,32
5EFBA7VYOItK,toys,321,19,14,13
ElumZdd4gX8i,toys,650,20,2,15
uIPxXiNmYik5,toys,700,20,35,20
XkdGgV5TEXZg,toys,3000,69,11,11
BChbO4TJg6io,toys,100,18,7,16
o0wzlENKuuPY,toys,600,17,17,17
IP4jZKK5Dj6G,toys,250,22,14,11
O332ZRndALYI,toys,4800,22,63,22
E0wO0I28vexS,health_beauty,371,20,16,16
5HS4UVb5BA1Z,toys,550,22,4,28
EdjxdMXHqjSB,office_furniture,12775,37,65,36
utVPLgd1LM3F,toys,200,16,2,11
lRR88G3PX3Qr,toys,550,70,8,30
55rh1v3A5RsT,toys,100,16,6,11
Fn9WoRGLlVH3,toys,700,22,7,15
4xChsgAyNo2I,toys,200,25,7,16
IJorqEKvUxeg,toys,10400,33,30,44
1edaUIVffPFF,watches_gifts,584,16,11,13
EqATw7CkIvaB,sports_leisure,250,20,20,20
8SztrKzyxM3K,toys,350,17,4,12
TEYFapk8uW71,toys,500,23,8,15
f69diPjSZpiH,toys,2600,60,15,15
vPw3Lqv7Vdqq,toys,1000,26,23,23
pJt5I6yrQP4g,toys,350,27,14,11
9p1qIJDPo06E,bed_bath_table,400,26,18,23
sCONCvmO1cEY,computers_accessories,6550,20,20,20
lPfXIqK9DBEF,toys,250,40,4,30
Fr3VdK2h1SEq,toys,800,60,8,60
cNIQyQD7lRhk,toys,150,17,8,14
C6UsEPgFUMcz,toys,1950,30,20,20
Tmnhif9qEZ56,toys,1200,27,22,39
ro08JPncYzLh,garden_tools,1650,30,22,30
esWD7Wxlp3sm,toys,750,26,14,26
6kzsO3fAg0UT,toys,1700,20,24,30
UgkSjxoiV9Ev,toys,2600,50,10,30
MfZGjLefxNPl,toys,200,30,4,40
3ySbE7iHgt6B,toys,8600,45,35,35
ZERA6htQikNZ,toys,4350,18,33,39
H9hpystS1XKq,toys,250,17,7,11
N0i8Xp7n4Vj8,computers_accessories,225,18,10,16
NC6oQrQwQvei,toys,150,18,12,15
hnvF3q1vXjmk,toys,1400,64,10,25
9BjOYzHBsH9L,housewares,2700,44,34,16
kY5YnabWe8A7,toys,700,22,5,22
8ZpC5k1o6MyS,bed_bath_table,1800,30,10,38
185Rjb6Jfv2E,toys,150,16,16,16
rA0r94YD97un,toys,250,16,2,20
o5T2zqh1Du1l,bed_bath_table,3750,48,13,40
hpHCXLhysZkh,toys,100,16,3,15
JUZSyxq6s6nI,toys,400,20,12,15
tPlw2QcQOvKf,garden_tools,1800,37,22,40
20gZ5JcJwEwM,toys,150,16,2,11
DyUOCuzEdIZl,toys,300,36,6,26
qTxuRtSw7zhY,toys,400,16,6,11
FiB67hfteyak,toys,1450,24,18,18
EsjZXaqqL5SG,toys,500,19,11,20
HdrN6JMatAo5,cool_stuff,1200,42,25,15
n78mjFaHd5CR,toys,3000,46,11,29
e3A7loHfJNMi,toys,400,30,10,30
m2RPbQhiKztI,toys,1000,24,15,24
ePyDOBUvUhLF,toys,5200,50,23,27
Hs1Mp7a9zuOE,housewares,2350,29,34,16
4zuxYWXo1Zct,toys,1136,26,29,21
SvHd01qu5l81,toys,1750,55,27,40
ZcmkLBe1zwC5,toys,490,20,18,16
4oHf8ykPUbnJ,electronics,175,20,16,18
sIT9McRczJ64,auto,700,32,15,11
Kcqn7MC2IG3l,toys,225,17,14,13
UgkSjxoiV9Ev,toys,2600,50,10,30
1ta7G638ICGt,toys,400,16,16,18
KwqpyCg16vLV,toys,350,25,8,19
0KSGneoDXExa,market_place,5600,60,15,40
fsxJTFaxzrTU,toys,167,16,12,13
dMIjKDjvV70Y,toys,304,27,17,27
67x8BavseUsY,toys,1250,32,18,32
c7VTEPmXrH97,toys,2150,47,23,27
czROIxe0W1vo,toys,285,17,10,13
X9sl5gbsIDb6,toys,1825,53,10,40
RFbIU9HGgsbn,toys,1643,16,8,12
sCONCvmO1cEY,computers_accessories,6550,20,20,20
PP5cKHUvzDD5,,600,35,35,15
SsU0HktRwn4p,toys,2800,103,8,20
vyJP4FBnuXfE,bed_bath_table,1625,34,24,24
QigkXizff0DP,toys,600,16,16,16
D27helji65vm,computers_accessories,188,20,16,15
Ggd3U51peXoq,electronics,175,22,11,16
kMn6qhcCHy1e,toys,166,22,7,14
pTrK5MYzL4Ca,computers_accessories,233,16,14,15
ekDgH7XkbERF,toys,700,30,20,30
Gr38UGV3a3R0,auto,1850,55,6,55
idE0uVGQwysz,toys,150,18,10,11
VYgBHdDqe67W,toys,300,20,5,15
FL1TUHCZNZj0,small_appliances,438,25,12,15
FeYNA37oNXY7,watches_gifts,400,21,14,14
HpMbJAttOmXr,toys,3500,36,25,21
1edaUIVffPFF,watches_gifts,584,16,11,13
AMKIgKd1s17B,health_beauty,200,22,10,18
d7s1ONCR8psC,toys,100,19,3,11
Slw56I6njkuR,bed_bath_table,22250,85,23,68
TmNQvjT0kjGz,toys,1000,32,12,26
MuEfLceNJyZu,toys,3900,18,26,38
5J7az1rwth4i,toys,250,16,2,20
JviVd50sxFpF,toys,400,17,4,17
eEOwSgW8meoJ,toys,1450,41,40,13
DWI07vcxaNPj,toys,3100,45,28,26
7RmS7uoVwWNW,toys,1450,20,8,20
pH255ZOAGs9Z,toys,330,45,6,18
1bydLkiYzk76,toys,184,18,10,13
X9sl5gbsIDb6,toys,1825,53,10,40
Rtm1uWckrdIP,toys,950,35,6,45
qKdBzmQEGR6b,toys,200,20,15,15
EtE1YNUUjcUQ,toys,350,40,40,11
biv80TWlCj5s,toys,667,30,14,16
fcHm42Paecr9,toys,3900,20,15,30
ro08JPncYzLh,garden_tools,1650,30,22,30
HqfwH9OQKTSF,baby,300,68,7,13
9NwzO0Pm0fDM,toys,1550,30,22,30
8NfBg6burWaK,watches_gifts,263,17,12,13
Fn43rroPPaVv,housewares,9950,31,61,31
mOL0X56BS1KZ,toys,600,16,25,11
utVPLgd1LM3F,toys,200,16,2,11
3PufGGjYCiej,books_general_interest,900,18,25,16
VgdX8r2d5BEV,toys,200,16,2,11
wbWo4CS8RjYk,bed_bath_table,2250,35,20,30
9NwzO0Pm0fDM,toys,1550,30,22,30
smL8TALIzsCS,toys,300,18,18,18
qFMTnqtVwQBU,toys,50,16,2,11
8G3cy7YsmwRw,toys,400,18,8,12
5a3fOLvOnQ3s,toys,396,18,11,14
ua99TuLWOUSc,market_place,175,17,10,19
EaD5HH3QisT4,housewares,2000,33,35,33
K1TmcFMjeFFl,toys,9800,86,8,40
IpYPlT2iCUvG,toys,2000,20,10,20
znQ3QIi09quu,toys,1200,20,30,30
CdlzSJX6L7SM,toys,1050,100,5,11
CluD8wyoVbBw,telephony,375,18,10,16
IfiF3xz32fhG,toys,1650,40,45,25
FZDHwwjZA6kq,toys,900,60,10,13
lpwYFOaMn7pt,fashio_female_clothing,200,16,2,20
0pW0IKLw9f9p,toys,7550,60,20,29
WQQP9w9yKeSc,toys,583,18,21,21
ZWyg4uNWPHjJ,toys,250,16,2,11
3W6R7Eu22y6L,toys,114,19,16,17
ro08JPncYzLh,garden_tools,1650,30,22,30
0vbEvli2JYJu,toys,1383,50,10,40
FYwSFXcDOKLA,toys,750,16,12,15
tfK6N5cTAvez,toys,250,16,2,20
SitPMWGsmpa4,toys,450,20,20,20
WtAWUQ3tWNcL,toys,600,50,5,16
2X9sVYtUOoeD,toys,217,17,12,13
TgwrwV8KV9qI,toys,300,18,9,14
7LzWBLBgaDSQ,air_conditioning,23300,36,30,45
2sZ4mJ31HYYa,toys,570,17,10,17
aU11PVCdD18D,toys,750,69,11,11
vGWMDrSZ1SdI,toys,300,16,20,11
hoFRvSkFE7Xv,home_appliances,950,25,11,15
oXSANnOMWjmc,toys,7700,60,20,29
SLTlrWtcYt1m,toys,1750,37,22,40
A7eV4h2TnTa4,toys,13150,35,45,35
eTlPil30tvIn,toys,5950,20,30,80
OyNjP3ysqnRA,health_beauty,1250,42,11,12
86hqk51ow8ve,toys,1100,48,8,39
AMKIgKd1s17B,health_beauty,200,22,10,18
XWt9t5v5HXZ6,toys,5700,62,5,45
rHSTHjYFnJS8,toys,9750,35,12,30
qokqKT1Sad1C,toys,7000,60,20,30
9XqOhSTulFCC,sports_leisure,3650,60,15,15
Al1GHLV4kkHl,toys,800,39,12,17
oS0fzN8J7MVD,toys,200,16,7,11
QFTWw9VD2QzH,tablets_printing_image,300,26,3,26
6akAQN3T6ZP4,stationery,310,21,7,15
HuJZxg0ZSCIL,bed_bath_table,1450,30,15,30
LXAABPW3XQVW,toys,3450,27,29,27
BnkgnBM3v929,toys,825,28,3,29
cg7baQksQvLG,toys,250,24,12,11
sCONCvmO1cEY,computers_accessories,6550,20,20,20
ScDLmil9uxJe,toys,700,20,20,20
dxqEUpUCK25l,toys,1200,69,3,43
mHk2Zzv4Vbuz,,100,16,6,11
yhM1TNmnd3og,watches_gifts,400,16,2,20
7kwbwv60HFm8,health_beauty,688,17,13,16
oLsnn56ZQd66,furniture_decor,400,37,15,27
zKatSTLtAXMr,toys,1550,17,18,18
j51QRzkg2gle,watches_gifts,400,22,14,27
mjEfGczqEBtQ,toys,200,18,3,12
3hFgY14cseag,toys,5650,73,73,20
W54mp7u3hc8N,toys,1200,25,12,25
Llc34brRaltI,housewares,950,53,5,13
