account_id,customer_id,branch_id,account_type,open_date,current_balance,account_status
200127,100127,4,Savings,2019-11-26,4908275.79,ACTIVE
200128,100128,12,Current,2025-03-01,2636562.27,DORMANT
200129,100129,37,Savings,2020-11-13,4532151.61,ACTIVE
200130,100130,37,Current,2020-09-02,819823.18,ACTIVE
200131,100131,43,Savings,2017-05-08,3214273.16,ACTIVE
200132,100132,6,Current,2024-08-21,4049396.01,ACTIVE
200133,100133,39,Current,2018-07-17,4737002.55,ACTIVE
200134,100134,46,Savings,2024-05-20,1687032.04,ACTIVE
200135,100135,24,Savings,2023-04-27,3625043.36,ACTIVE
200136,100136,11,Savings,2025-07-11,2694295.64,CLOSED
200137,100137,13,Savings,2022-10-03,303614.32,ACTIVE
200138,100138,34,Savings,2016-02-16,3450153.69,DORMANT
200139,100139,25,Current,2023-02-09,3450637.74,DORMANT
200140,100140,7,Savings,2024-09-19,4653068.72,ACTIVE
200141,100141,4,Savings,2023-02-02,2486813.57,ACTIVE
200142,100142,8,Savings,2020-04-15,1151639.48,ACTIVE
200143,100143,20,Savings,2016-08-09,223296.84,ACTIVE
200144,100144,29,Salary,2019-06-02,2078503.11,CLOSED
200145,100145,45,Savings,2021-11-17,1509932.54,ACTIVE
200146,100146,46,Current,2016-06-17,3805560.99,ACTIVE
200147,100147,10,Current,2019-07-31,1771661.69,ACTIVE
200148,100148,43,Current,2022-01-20,4745381.45,ACTIVE
200149,100149,34,Salary,2022-05-02,4811569.86,ACTIVE
200150,100150,26,Savings,2017-09-04,3104732.5,ACTIVE
200151,100151,41,Salary,2019-08-31,4643337.1,ACTIVE
200152,100152,49,Savings,2021-08-19,3804391.3,ACTIVE
200153,100153,3,Savings,2023-10-29,2734524.78,ACTIVE
200154,100154,6,Current,2018-06-23,901949.52,ACTIVE
200155,100155,5,Salary,2017-09-19,2293260.42,ACTIVE
200156,100156,5,Current,2016-07-25,2804591.88,DORMANT
200157,100157,47,Savings,2023-07-22,4319875.92,ACTIVE
200158,100158,23,Savings,2024-03-15,2406926.22,ACTIVE
200159,100159,49,Salary,2020-05-28,4488424.53,ACTIVE
200160,100160,9,Savings,2020-12-30,3371907.72,ACTIVE
200161,100161,35,Current,2024-06-10,685426.82,CLOSED
200162,100162,20,Current,2022-09-03,4974909.36,ACTIVE
200163,100163,49,Savings,2022-06-14,2636399.69,ACTIVE
200164,100164,42,Savings,2021-08-29,1959595.55,ACTIVE
200165,100165,35,Savings,2017-01-03,3295739.27,ACTIVE
200166,100166,50,Savings,2018-06-28,544912.12,ACTIVE
200167,100167,18,Salary,2020-11-04,3182874.96,ACTIVE
200168,100168,17,Savings,2019-04-01,2491430.88,ACTIVE
200169,100169,24,Salary,2024-10-25,2033667.01,ACTIVE
200170,100170,3,Savings,2020-06-03,4765123.6,ACTIVE
200171,100171,32,Salary,2017-08-29,2612937.31,DORMANT
200172,100172,35,Savings,2017-06-25,1095977.84,ACTIVE
200173,100173,38,Savings,2019-10-08,2295087.92,ACTIVE
200174,100174,13,Savings,2016-12-04,4596977.33,ACTIVE
200175,100175,47,Current,2021-05-03,880889.31,DORMANT
200176,100176,25,Current,2022-05-29,1070178.21,ACTIVE
200177,100177,9,Current,2024-05-10,65641.32,DORMANT
200178,100178,4,Savings,2016-07-20,71443.15,ACTIVE
200179,100179,14,Savings,2022-02-23,4147043.44,ACTIVE
200180,100180,37,Savings,2020-06-23,3660746.97,ACTIVE
200181,100181,34,Savings,2018-12-11,1775527.76,ACTIVE
200182,100182,11,Savings,2016-12-14,3491706.63,ACTIVE
200183,100183,41,Salary,2020-06-20,1976332.03,ACTIVE
200184,100184,3,Salary,2021-08-17,4764507.53,ACTIVE
200185,100185,28,Salary,2020-11-14,4835279.88,ACTIVE
200186,100186,29,Current,2024-09-04,1964272.48,ACTIVE
200187,100187,9,Savings,2023-10-29,4271182.42,ACTIVE
200188,100188,3,Savings,2017-06-18,3865558.66,ACTIVE
200189,100189,25,Savings,2024-07-18,1550344.69,ACTIVE
200190,100190,34,Current,2017-07-06,1160583.12,ACTIVE
200191,100191,12,Savings,2021-05-23,2291444.13,ACTIVE
200192,100192,42,Savings,2022-04-09,3906853.53,CLOSED
200193,100193,9,Savings,2018-03-22,4800858.84,ACTIVE
200194,100194,15,Savings,2021-06-21,3818013.55,ACTIVE
200195,100195,40,Salary,2020-06-07,4276107.32,ACTIVE
200196,100196,25,Current,2023-04-25,3015520.0,DORMANT
200197,100197,5,Savings,2022-05-29,4177121.45,ACTIVE
200198,100198,11,Salary,2018-03-14,3922212.08,ACTIVE
200199,100199,34,Current,2022-04-17,1885239.22,DORMANT
200200,100200,24,Savings,2022-11-28,2760175.52,ACTIVE
200201,100201,15,Savings,2024-04-01,4023863.23,ACTIVE
200202,100202,38,Savings,2021-11-17,230760.64,ACTIVE
200203,100203,8,Savings,2018-10-05,4040492.37,ACTIVE
200204,100204,5,Salary,2018-09-19,889851.68,ACTIVE
200205,100205,48,Savings,2016-10-20,2573660.74,DORMANT
200206,100206,26,Salary,2018-12-26,4041473.06,ACTIVE
200207,100207,18,Savings,2024-09-16,1269478.48,CLOSED
200208,100208,6,Savings,2020-10-27,1229414.29,ACTIVE
200209,100209,37,Savings,2019-08-17,2014120.61,ACTIVE
200210,100210,48,Savings,2023-09-05,4473266.67,ACTIVE
200211,100211,13,Savings,2022-06-17,2713.69,ACTIVE
200212,100212,28,Salary,2017-01-01,4506964.79,ACTIVE
200213,100213,5,Savings,2017-04-05,769458.22,ACTIVE
200214,100214,13,Current,2023-07-14,4950436.84,ACTIVE
200215,100215,17,Savings,2020-08-21,4774257.54,ACTIVE
200216,100216,50,Savings,2020-09-30,2473628.61,ACTIVE
200217,100217,40,Savings,2020-02-05,2563844.88,ACTIVE
200218,100218,45,Savings,2019-11-27,2408005.93,ACTIVE
200219,100219,32,Savings,2018-02-19,3177400.51,ACTIVE
200220,100220,29,Savings,2019-08-06,454063.15,ACTIVE
200221,100221,3,Savings,2019-11-12,163573.43,CLOSED
200222,100222,40,Savings,2022-08-29,288985.79,ACTIVE
200223,100223,34,Savings,2023-05-08,2222104.56,ACTIVE
200224,100224,40,Savings,2016-04-09,1378101.92,ACTIVE
200225,100225,27,Salary,2024-08-18,3110386.79,ACTIVE
200226,100226,13,Current,2019-06-02,4962215.23,ACTIVE
200227,100227,45,Savings,2017-11-24,1931922.7,CLOSED
200228,100228,33,Savings,2019-12-03,2869419.35,DORMANT
200229,100229,6,Salary,2022-11-29,2078311.68,ACTIVE
200230,100230,24,Current,2025-03-19,4236434.7,ACTIVE
200231,100231,19,Savings,2025-01-01,4511230.9,ACTIVE
200232,100232,16,Salary,2020-12-16,4386839.38,ACTIVE
200233,100233,40,Savings,2022-12-27,4871874.01,ACTIVE
200234,100234,28,Savings,2017-08-20,138082.17,ACTIVE
200235,100235,33,Current,2020-12-09,4199160.9,ACTIVE
200236,100236,48,Savings,2016-07-02,3758984.98,ACTIVE
200237,100237,41,Salary,2025-03-05,1143857.7,ACTIVE
200238,100238,13,Current,2018-08-14,4781622.31,CLOSED
200239,100239,43,Savings,2018-03-28,741315.55,ACTIVE
200240,100240,45,Savings,2023-09-08,3397909.86,ACTIVE
200241,100241,25,Savings,2020-03-11,1124838.64,ACTIVE
200242,100242,42,Savings,2017-09-30,2157187.55,DORMANT
200243,100243,36,Current,2024-06-30,3595939.9,CLOSED
200244,100244,27,Savings,2024-03-02,2816841.55,ACTIVE
200245,100245,38,Savings,2025-07-24,2137795.41,ACTIVE
200246,100246,7,Current,2016-12-17,1632028.99,ACTIVE
200247,100247,5,Savings,2017-04-05,4198378.45,ACTIVE
200248,100248,43,Current,2024-04-17,719499.84,ACTIVE
200249,100249,45,Savings,2016-08-11,2150799.33,ACTIVE
200250,100250,31,Salary,2018-09-22,4518835.98,ACTIVE
200251,100251,23,Savings,2022-12-18,4229324.83,ACTIVE
200252,100252,42,Savings,2017-08-27,2005008.34,ACTIVE
200253,100253,10,Savings,2025-05-02,3815660.26,CLOSED
200254,100254,32,Savings,2025-03-13,4115892.57,ACTIVE
200255,100255,43,Current,2019-03-24,4444492.68,ACTIVE
200256,100256,30,Current,2016-02-26,2722756.59,ACTIVE
200257,100257,39,Current,2019-11-07,1022702.2,ACTIVE
200258,100258,31,Savings,2023-10-12,1276917.73,ACTIVE
200259,100259,18,Savings,2025-01-07,1478825.52,ACTIVE
200260,100260,36,Savings,2017-03-31,2969215.5,CLOSED
200261,100261,2,Savings,2019-06-03,164531.72,ACTIVE
200262,100262,14,Salary,2021-01-17,3180394.32,ACTIVE
200263,100263,13,Savings,2021-04-13,1822089.02,DORMANT
200264,100264,29,Savings,2016-04-03,1476561.39,ACTIVE
200265,100265,12,Savings,2019-09-21,4397543.11,ACTIVE
200266,100266,39,Current,2018-05-06,2300281.98,ACTIVE
200267,100267,2,Current,2024-04-19,475717.7,ACTIVE
200268,100268,32,Salary,2022-01-12,4133820.47,ACTIVE
200269,100269,13,Savings,2018-05-17,238682.47,ACTIVE
200270,100270,46,Savings,2018-04-14,3633882.75,ACTIVE
200271,100271,27,Salary,2022-02-16,3869644.16,ACTIVE
200272,100272,49,Current,2021-11-13,1763336.73,ACTIVE
200273,100273,41,Savings,2024-05-31,4124026.89,ACTIVE
200274,100274,17,Current,2018-11-25,2578539.2,ACTIVE
200275,100275,40,Current,2022-02-25,2316736.62,DORMANT
200276,100276,31,Current,2021-06-01,227493.71,ACTIVE
200277,100277,34,Current,2022-12-26,1450500.95,ACTIVE
200278,100278,24,Savings,2024-03-08,4655084.35,CLOSED
200279,100279,45,Savings,2017-08-01,1959423.9,ACTIVE
200280,100280,35,Savings,2023-10-18,2733729.25,ACTIVE
200281,100281,48,Current,2023-11-02,2660342.38,ACTIVE
200282,100282,6,Current,2023-06-30,2952360.23,ACTIVE
200283,100283,19,Current,2016-03-16,307124.11,ACTIVE
200284,100284,30,Savings,2020-03-22,1811200.19,ACTIVE
200285,100285,7,Current,2022-07-15,3615779.81,ACTIVE
200286,100286,10,Current,2023-06-10,1003200.98,ACTIVE
200287,100287,41,Current,2021-11-27,1018290.1,CLOSED
200288,100288,32,Current,2016-06-27,50947.99,ACTIVE
200289,100289,34,Current,2018-11-12,2187690.89,DORMANT
200290,100290,28,Savings,2017-11-28,4413730.54,ACTIVE
200291,100291,15,Savings,2016-09-03,259978.77,DORMANT
200292,100292,30,Savings,2019-03-09,955997.99,ACTIVE
200293,100293,37,Savings,2018-04-02,1550767.65,ACTIVE
200294,100294,29,Current,2024-11-06,3658757.82,ACTIVE
200295,100295,22,Current,2023-10-23,3203357.65,ACTIVE
200296,100296,4,Savings,2022-12-06,2080011.55,ACTIVE
200297,100297,20,Savings,2019-01-16,3795465.16,DORMANT
200298,100298,32,Current,2016-08-05,3048350.24,DORMANT
200299,100299,36,Savings,2021-03-19,4480255.98,ACTIVE
200300,100300,50,Savings,2023-05-05,4090224.73,ACTIVE
200301,100301,4,Savings,2016-02-04,1264441.62,ACTIVE
200302,100302,27,Savings,2016-09-29,1357557.17,ACTIVE
200303,100303,17,Savings,2020-05-10,627219.7,ACTIVE
200304,100304,12,Savings,2023-05-28,1685155.15,ACTIVE
200305,100305,22,Savings,2019-01-16,4997719.82,CLOSED
200306,100306,17,Salary,2023-06-08,2029052.97,ACTIVE
200307,100307,10,Savings,2025-07-22,1102831.93,ACTIVE
200308,100308,1,Current,2023-05-27,3812533.18,ACTIVE
200309,100309,22,Savings,2020-01-15,2712583.78,ACTIVE
200310,100310,26,Savings,2017-03-17,748432.45,ACTIVE
200311,100311,18,Current,2016-03-19,1903758.06,ACTIVE
200312,100312,50,Savings,2019-04-13,2072641.34,DORMANT
200313,100313,14,Savings,2023-04-13,3769271.59,ACTIVE
200314,100314,47,Savings,2020-05-02,103846.51,ACTIVE
200315,100315,29,Current,2018-08-04,1345463.72,CLOSED
200316,100316,12,Savings,2020-04-08,2588222.71,ACTIVE
200317,100317,36,Savings,2021-09-13,1344599.29,ACTIVE
200318,100318,35,Current,2023-12-16,3142356.02,ACTIVE
200319,100319,12,Savings,2017-02-11,2409596.46,ACTIVE
200320,100320,7,Current,2019-07-16,1808870.42,ACTIVE
200321,100321,29,Current,2021-06-08,4746068.53,ACTIVE
200322,100322,11,Salary,2022-09-11,3160981.42,ACTIVE
200323,100323,33,Savings,2021-12-17,650141.89,ACTIVE
200324,100324,6,Current,2016-12-26,2800678.44,DORMANT
200325,100325,47,Savings,2018-02-02,3903768.9,ACTIVE
200326,100326,15,Savings,2018-03-25,3542594.24,ACTIVE
200327,100327,32,Savings,2021-08-12,860860.1,ACTIVE
200328,100328,11,Current,2021-02-18,4862113.79,ACTIVE
200329,100329,23,Savings,2022-04-15,2244343.82,ACTIVE
200330,100330,26,Savings,2023-12-28,795545.51,DORMANT
200331,100331,34,Savings,2016-03-29,901388.67,CLOSED
200332,100332,46,Current,2016-06-11,491625.84,ACTIVE
200333,100333,34,Current,2018-10-10,4017688.78,ACTIVE
200334,100334,29,Current,2021-12-08,610591.46,ACTIVE
200335,100335,4,Savings,2019-06-02,626063.72,ACTIVE
200336,100336,17,Savings,2019-09-28,4252432.84,ACTIVE
200337,100337,35,Current,2021-06-29,1723348.12,CLOSED
200338,100338,13,Savings,2020-05-30,154774.09,ACTIVE
200339,100339,41,Savings,2024-05-07,259950.55,ACTIVE
200340,100340,39,Current,2017-10-05,711281.15,ACTIVE
200341,100341,15,Salary,2016-03-16,1067360.04,DORMANT
200342,100342,29,Current,2019-11-21,3325898.4,ACTIVE
200343,100343,29,Current,2023-09-03,787052.74,CLOSED
200344,100344,11,Salary,2019-12-12,594812.52,ACTIVE
200345,100345,32,Savings,2019-12-26,3823713.35,ACTIVE
200346,100346,2,Savings,2023-01-04,3355440.89,ACTIVE
200347,100347,47,Salary,2019-05-23,2176903.45,ACTIVE
200348,100348,14,Savings,2018-08-25,2746774.2,ACTIVE
200349,100349,20,Current,2021-08-15,1560264.11,ACTIVE
200350,100350,22,Savings,2019-02-03,2412760.85,ACTIVE
200351,100351,11,Savings,2025-02-07,2533609.91,ACTIVE
200352,100352,27,Current,2016-09-10,1936492.74,ACTIVE
200353,100353,3,Salary,2023-01-07,4532907.77,ACTIVE
200354,100354,17,Current,2018-11-21,80801.29,ACTIVE
200355,100355,44,Savings,2020-05-04,3910965.23,ACTIVE
200356,100356,28,Salary,2025-02-19,622351.96,ACTIVE
200357,100357,29,Savings,2016-04-30,3987838.03,ACTIVE
200358,100358,21,Savings,2022-03-23,3079751.62,ACTIVE
200359,100359,47,Savings,2019-02-21,4216468.82,ACTIVE
200360,100360,16,Savings,2018-07-12,488022.87,ACTIVE
200361,100361,37,Savings,2017-09-13,2795123.68,ACTIVE
200362,100362,20,Salary,2019-10-31,2505688.86,ACTIVE
200363,100363,6,Current,2020-05-28,3531112.82,ACTIVE
200364,100364,19,Current,2023-05-14,2671685.61,ACTIVE
200365,100365,5,Savings,2017-07-16,2703902.47,ACTIVE
200366,100366,3,Salary,2016-12-25,2148264.92,ACTIVE
200367,100367,1,Salary,2024-03-08,1544517.7,ACTIVE
200368,100368,38,Current,2020-04-14,2411580.67,ACTIVE
200369,100369,15,Savings,2021-11-02,592902.55,ACTIVE
200370,100370,34,Savings,2023-08-09,4807585.94,ACTIVE
200371,100371,35,Savings,2022-11-13,3572196.61,ACTIVE
200372,100372,49,Savings,2023-01-06,4762359.35,ACTIVE
200373,100373,25,Savings,2023-09-12,1134023.55,DORMANT
200374,100374,24,Salary,2018-07-20,4396765.43,ACTIVE
200375,100375,12,Savings,2020-09-05,4044045.53,ACTIVE
200376,100376,18,Savings,2018-09-11,3385923.49,ACTIVE
200377,100377,15,Savings,2022-06-04,3125333.42,ACTIVE
200378,100378,44,Savings,2017-09-17,1583090.05,ACTIVE
200379,100379,16,Savings,2020-10-12,4082145.72,ACTIVE
200380,100380,27,Savings,2019-07-03,2507826.55,ACTIVE
200381,100381,8,Savings,2022-10-15,354922.43,ACTIVE
200382,100382,46,Current,2019-09-10,1564659.37,CLOSED
200383,100383,25,Salary,2021-01-13,4676517.84,ACTIVE
200384,100384,17,Savings,2022-01-29,4253475.96,ACTIVE
200385,100385,29,Savings,2017-06-23,4909537.54,ACTIVE
200386,100386,8,Current,2018-04-26,3140152.92,ACTIVE
200387,100387,15,Savings,2023-04-26,1237926.61,ACTIVE
200388,100388,27,Savings,2017-07-21,814493.84,ACTIVE
200389,100389,46,Salary,2022-07-07,934978.75,DORMANT
200390,100390,50,Savings,2022-01-26,99468.39,ACTIVE
200391,100391,7,Current,2023-09-02,1953715.21,ACTIVE
200392,100392,3,Savings,2024-12-21,957542.69,DORMANT
200393,100393,29,Savings,2018-04-08,2058571.47,ACTIVE
200394,100394,44,Savings,2017-07-19,4675004.66,CLOSED
200395,100395,24,Current,2019-06-19,2152985.78,ACTIVE
200396,100396,3,Savings,2023-09-21,4389983.49,ACTIVE
200397,100397,20,Savings,2023-11-28,3027721.08,ACTIVE
200398,100398,46,Current,2021-11-15,1236034.21,ACTIVE
200399,100399,15,Savings,2017-07-07,1779595.87,ACTIVE
200400,100400,25,Savings,2020-10-27,420055.72,ACTIVE
200401,100401,30,Salary,2024-08-20,1667646.24,DORMANT
200402,100402,14,Savings,2017-08-17,3387865.96,ACTIVE
200403,100403,7,Current,2023-05-11,361019.41,ACTIVE
200404,100404,17,Current,2022-05-02,1027404.34,ACTIVE
200405,100405,44,Current,2017-10-09,1907514.49,ACTIVE
200406,100406,20,Savings,2019-07-24,4910256.66,ACTIVE
200407,100407,36,Salary,2016-10-04,3924416.68,ACTIVE
200408,100408,9,Savings,2022-04-01,3667566.99,ACTIVE
200409,100409,38,Current,2021-12-23,581396.69,ACTIVE
200410,100410,48,Savings,2024-01-25,3905088.97,ACTIVE
200411,100411,22,Savings,2017-04-29,3926451.42,CLOSED
200412,100412,2,Savings,2018-01-24,3005712.93,ACTIVE
200413,100413,24,Salary,2019-07-24,4951813.73,ACTIVE
200414,100414,8,Salary,2025-05-31,1626606.9,ACTIVE
200415,100415,11,Savings,2017-08-19,4706391.6,ACTIVE
200416,100416,13,Savings,2024-02-26,4573698.21,ACTIVE
200417,100417,17,Current,2016-04-30,57897.56,ACTIVE
200418,100418,8,Savings,2024-08-01,2250857.57,ACTIVE
200419,100419,21,Savings,2019-07-29,4885532.61,ACTIVE
200420,100420,18,Current,2020-08-22,516055.25,ACTIVE
200421,100421,30,Savings,2020-08-11,2739149.58,CLOSED
200422,100422,18,Salary,2019-05-27,4894798.06,ACTIVE
200423,100423,46,Savings,2020-12-19,2777699.37,ACTIVE
200424,100424,47,Savings,2024-05-12,949481.61,ACTIVE
200425,100425,31,Savings,2025-03-19,2911125.06,ACTIVE
200426,100426,38,Current,2023-02-21,1022600.65,ACTIVE
200427,100427,32,Savings,2024-04-12,2598761.46,ACTIVE
200428,100428,11,Current,2019-01-26,370674.07,ACTIVE
200429,100429,45,Savings,2017-09-14,3027610.6,ACTIVE
200430,100430,25,Current,2024-09-26,2584191.3,ACTIVE
200431,100431,33,Savings,2018-02-08,3700936.76,ACTIVE
200432,100432,38,Savings,2017-03-13,3153687.01,ACTIVE
200433,100433,41,Current,2017-06-22,2748256.54,ACTIVE
200434,100434,8,Savings,2018-01-26,3449049.36,ACTIVE
200435,100435,11,Savings,2016-04-17,720137.6,ACTIVE
200436,100436,22,Salary,2024-07-19,2977000.63,ACTIVE
200437,100437,24,Savings,2022-11-11,860966.96,ACTIVE
200438,100438,41,Current,2022-12-02,4627648.28,ACTIVE
200439,100439,17,Savings,2018-12-29,342136.36,ACTIVE
200440,100440,12,Current,2022-10-16,2152158.56,ACTIVE
200441,100441,46,Savings,2022-05-11,3479139.49,ACTIVE
200442,100442,32,Savings,2022-11-13,2290382.05,ACTIVE
200443,100443,15,Salary,2018-08-03,460930.22,ACTIVE
200444,100444,16,Current,2022-09-08,2767118.39,ACTIVE
