transaction_id,account_id,transaction_date,transaction_type,amount,channel,running_balance
300030,200744,2022-05-14,DEBIT,171949.95,UPI,3308124.53
300031,200093,2024-08-31,DEBIT,191898.49,ONLINE,1182064.78
300032,200848,2022-08-20,DEBIT,43620.73,ONLINE,489736.09
300033,200614,2023-12-21,DEBIT,17721.62,UPI,2881008.57
300034,200412,2024-09-07,CREDIT,38987.55,BRANCH,2768612.33
300035,200432,2024-08-02,CREDIT,164128.37,NEFT,942330.85
300036,200678,2022-12-16,DEBIT,135361.26,ATM,281705.35
300037,200159,2023-08-02,DEBIT,127245.86,UPI,404001.92
300038,200014,2023-12-15,DEBIT,80418.45,ATM,4963858.55
300039,200373,2025-03-22,CREDIT,115607.81,NEFT,3918027.68
300040,200225,2022-09-18,CREDIT,61644.04,UPI,4609976.39
300041,200505,2024-11-06,CREDIT,95492.3,BRANCH,975676.08
300042,200073,2022-07-30,DEBIT,158633.3,IMPS,4802862.4
300043,200249,2024-04-10,DEBIT,196250.2,BRANCH,713700.43
300044,200511,2022-08-08,DEBIT,186504.54,BRANCH,2545654.6
300045,200603,2023-10-30,DEBIT,186779.8,IMPS,4148563.57
300046,200216,2025-02-12,CREDIT,80504.52,IMPS,1749341.87
300047,200973,2022-05-26,DEBIT,93811.1,ONLINE,2124430.25
300048,200602,2023-09-11,DEBIT,141156.52,IMPS,641361.46
300049,200541,2024-12-27,DEBIT,184446.17,UPI,615047.94
300050,200947,2024-08-02,CREDIT,28484.65,ATM,3098031.34
300051,200817,2024-03-31,CREDIT,60917.95,ONLINE,3377824.08
300052,200939,2024-04-26,DEBIT,27935.44,ONLINE,3886773.9
300053,200988,2023-05-04,CREDIT,122440.51,ATM,2783631.92
300054,200220,2023-05-15,CREDIT,61329.57,ONLINE,3228973.58
300055,200840,2025-01-27,CREDIT,65288.96,IMPS,68079.6
300056,200727,2022-11-22,CREDIT,14276.1,BRANCH,811272.55
300057,200221,2024-09-14,CREDIT,70024.23,NEFT,4924581.37
300058,200389,2024-02-26,DEBIT,172513.05,IMPS,380429.53
300059,200554,2022-05-16,DEBIT,46691.26,BRANCH,3394101.72
300060,200647,2023-11-29,DEBIT,139067.97,BRANCH,880825.12
300061,200042,2023-03-03,CREDIT,125962.71,ONLINE,3583734.57
300062,200676,2024-06-01,CREDIT,172710.57,UPI,3530099.02
300063,200873,2024-06-10,CREDIT,26544.36,UPI,1171378.2
300064,200283,2025-03-07,CREDIT,195520.23,ONLINE,1348537.18
300065,200058,2023-12-02,DEBIT,116567.47,ONLINE,3274026.18
300066,200814,2025-01-20,DEBIT,199095.28,ATM,1950735.15
300067,200834,2023-04-29,DEBIT,182311.79,ATM,973142.57
300068,200537,2022-12-21,DEBIT,44381.3,NEFT,3658532.15
300069,200073,2022-06-09,DEBIT,11326.79,NEFT,771160.55
300070,200885,2025-03-21,DEBIT,51202.25,NEFT,4278290.5
300071,200923,2024-09-23,CREDIT,105559.97,NEFT,2573590.29
300072,200129,2022-08-23,CREDIT,34402.11,BRANCH,528950.17
300073,200599,2024-08-06,DEBIT,33575.2,BRANCH,3470514.63
300074,200842,2023-10-29,CREDIT,92572.45,ATM,2596055.62
300075,200426,2025-02-10,DEBIT,6750.27,UPI,1490638.83
300076,200948,2022-07-19,DEBIT,24465.43,ONLINE,2112985.63
300077,200665,2024-06-30,CREDIT,83230.68,UPI,1492039.55
300078,200694,2022-12-27,DEBIT,12719.67,IMPS,1315497.67
300079,200125,2023-09-23,DEBIT,79411.34,BRANCH,818460.3
300080,200067,2024-04-11,DEBIT,94853.85,NEFT,1814154.28
300081,200006,2022-05-23,CREDIT,90308.2,NEFT,1255310.54
300082,200637,2022-08-11,CREDIT,173848.05,IMPS,3417330.72
300083,200314,2024-02-16,CREDIT,106059.48,UPI,3419541.77
300084,200326,2023-11-02,CREDIT,93649.29,NEFT,2509450.29
300085,200565,2024-10-09,DEBIT,82200.78,UPI,3889833.67
300086,200578,2022-05-06,CREDIT,163542.91,ONLINE,4206777.93
300087,200826,2022-07-05,CREDIT,179021.82,IMPS,2899042.4
300088,200506,2023-03-22,CREDIT,170663.17,UPI,3094866.35
300089,200082,2022-10-12,DEBIT,134741.96,ONLINE,1414788.11
300090,200599,2025-04-04,CREDIT,27558.61,UPI,4474398.57
300091,200002,2022-01-01,CREDIT,55446.31,UPI,121518.12
300092,200204,2022-10-28,DEBIT,9308.01,NEFT,1743338.05
300093,200662,2022-11-02,DEBIT,186171.73,ATM,3609141.21
300094,200805,2024-07-16,DEBIT,132193.63,BRANCH,400907.5
300095,200404,2024-12-24,DEBIT,149297.94,UPI,916256.05
300096,200103,2023-08-20,CREDIT,62383.19,UPI,2946634.0
300097,200536,2024-03-09,DEBIT,169146.14,UPI,2800188.36
300098,200368,2025-03-29,CREDIT,51994.7,ATM,3694772.02
300099,200212,2024-07-04,CREDIT,428.59,ONLINE,4063156.89
300100,200577,2023-02-05,CREDIT,75345.35,IMPS,643333.6
300101,200961,2023-02-26,CREDIT,114195.22,NEFT,92395.76
300102,200209,2023-10-11,CREDIT,95793.1,ATM,3448347.78
300103,200763,2023-09-06,DEBIT,172429.02,ONLINE,1507308.28
300104,200897,2025-03-13,CREDIT,21170.52,UPI,3130106.58
300105,200117,2023-09-16,CREDIT,110809.31,ONLINE,753147.67
300106,200628,2024-06-09,CREDIT,102644.57,ATM,2345465.71
300107,200749,2023-12-07,DEBIT,56350.46,ATM,2522371.52
300108,200478,2022-07-02,CREDIT,164463.4,ATM,2925596.54
300109,200105,2025-04-08,CREDIT,150594.45,IMPS,2566093.5
300110,200495,2022-01-17,DEBIT,146598.55,BRANCH,2478706.01
300111,200771,2024-11-11,CREDIT,175250.88,NEFT,1664004.4
300112,200046,2024-04-07,CREDIT,144584.64,IMPS,356365.59
300113,200823,2022-09-19,DEBIT,46445.07,IMPS,448056.22
300114,200331,2023-08-26,CREDIT,141141.99,BRANCH,2169174.48
300115,200216,2022-05-08,CREDIT,61609.79,IMPS,1779287.74
300116,200982,2024-01-27,CREDIT,48510.71,ATM,2580915.96
300117,200960,2025-01-29,CREDIT,14693.42,ATM,1524538.43
300118,200492,2022-04-19,CREDIT,148831.31,ONLINE,3439706.5
300119,200813,2022-01-02,DEBIT,142229.09,UPI,4319842.13
300120,200922,2025-02-20,DEBIT,46976.45,IMPS,1494666.51
300121,200845,2024-01-06,DEBIT,149900.87,UPI,965323.55
300122,200449,2022-08-13,CREDIT,183576.39,NEFT,581344.78
300123,200536,2023-08-01,CREDIT,21694.99,ATM,3081462.08
300124,200511,2022-03-05,CREDIT,46604.06,ONLINE,2219558.03
300125,200458,2023-04-27,DEBIT,150077.13,NEFT,940484.58
300126,200547,2024-06-03,CREDIT,54973.88,ONLINE,3265857.1
300127,200536,2024-03-18,CREDIT,124970.33,BRANCH,742841.67
300128,200540,2023-10-14,CREDIT,16324.73,ATM,2771726.38
300129,200484,2024-02-23,DEBIT,90495.28,NEFT,2635978.33
300130,200976,2024-04-11,DEBIT,147844.38,BRANCH,3671271.89
300131,201000,2024-02-21,CREDIT,137334.14,NEFT,276020.64
300132,200016,2024-06-10,CREDIT,163032.91,ONLINE,4439420.72
300133,200571,2025-01-21,CREDIT,175502.68,BRANCH,3515107.13
300134,200977,2023-03-09,DEBIT,154659.38,BRANCH,1081021.93
300135,200243,2022-12-22,DEBIT,134350.39,ATM,917435.04
300136,200950,2024-08-30,DEBIT,6441.33,UPI,2158585.24
300137,200207,2022-10-12,CREDIT,107039.84,ONLINE,4087917.87
300138,200912,2023-01-21,DEBIT,7635.78,ONLINE,4214828.49
300139,200271,2025-02-11,CREDIT,161632.76,BRANCH,2602520.23
300140,200761,2024-02-27,CREDIT,64212.83,BRANCH,4304123.91
300141,200994,2024-01-08,DEBIT,112529.63,ATM,27715.82
300142,200779,2024-05-04,CREDIT,55961.12,UPI,176355.57
300143,200705,2022-11-12,DEBIT,156521.78,ONLINE,4559152.06
300144,200847,2023-08-14,CREDIT,177311.86,IMPS,3876771.98
300145,200730,2022-09-15,CREDIT,79788.63,IMPS,2253804.94
300146,200115,2022-10-03,DEBIT,172598.19,UPI,3768173.85
300147,200580,2022-01-24,CREDIT,53488.29,NEFT,4778219.49
300148,200299,2022-05-27,CREDIT,106978.72,ATM,3860561.57
300149,200837,2022-02-02,CREDIT,171766.41,UPI,4211935.48
300150,200483,2022-10-22,CREDIT,65243.68,IMPS,3803152.6
300151,200397,2024-09-23,CREDIT,190813.05,BRANCH,841471.36
300152,200394,2024-06-13,CREDIT,24463.71,IMPS,4167953.76
300153,200075,2022-10-06,CREDIT,3753.19,BRANCH,975946.55
300154,200978,2022-06-23,CREDIT,180836.66,ATM,4463110.33
300155,200482,2022-10-09,DEBIT,13822.87,BRANCH,2293520.17
300156,200103,2024-05-01,DEBIT,198378.65,UPI,3385045.27
300157,200297,2024-07-22,CREDIT,190284.23,BRANCH,2486455.62
300158,200178,2024-05-21,CREDIT,27490.48,NEFT,470407.65
300159,200215,2023-01-04,DEBIT,107563.17,UPI,1453966.18
300160,200967,2024-07-19,CREDIT,37065.57,ATM,4918667.4
300161,200315,2024-11-09,DEBIT,85688.22,UPI,4803593.4
300162,200039,2024-05-18,DEBIT,12378.88,NEFT,1602774.24
300163,200259,2025-02-04,DEBIT,44862.53,ATM,4981485.87
300164,200716,2024-07-10,CREDIT,72718.23,IMPS,4227833.2
300165,200007,2024-02-27,CREDIT,87785.64,NEFT,3054992.02
300166,200049,2023-12-29,CREDIT,195501.5,ATM,201103.04
300167,200538,2023-04-08,DEBIT,161592.34,BRANCH,4507283.42
300168,200161,2023-01-16,DEBIT,147508.25,UPI,2787367.68
300169,200869,2024-05-19,DEBIT,107454.56,ATM,4342446.52
300170,200176,2022-01-16,CREDIT,168015.55,UPI,4172228.38
300171,200591,2025-03-29,DEBIT,67930.63,BRANCH,4165114.57
300172,200002,2024-10-17,DEBIT,141808.93,ATM,3491020.22
300173,200895,2023-04-30,CREDIT,198757.42,IMPS,1457429.99
300174,200455,2024-10-24,DEBIT,62994.32,NEFT,1681133.21
300175,200928,2023-07-06,DEBIT,134836.11,ATM,1542691.83
300176,200644,2024-04-21,CREDIT,168878.54,BRANCH,100719.97
300177,200276,2025-01-23,CREDIT,183169.94,ATM,2913053.26
300178,200498,2025-03-26,DEBIT,143614.74,UPI,3494318.94
300179,200629,2024-01-22,CREDIT,56793.22,ONLINE,4269403.03
300180,200676,2022-03-10,DEBIT,65323.8,ATM,701257.08
300181,200800,2022-03-19,CREDIT,4249.53,IMPS,2721143.65
300182,200028,2025-03-09,DEBIT,152201.11,ATM,40536.7
300183,200333,2024-09-16,CREDIT,8643.65,NEFT,475920.69
300184,200001,2024-01-25,DEBIT,172944.01,ATM,271531.62
300185,200188,2022-08-20,CREDIT,23820.26,ONLINE,3627527.43
300186,200056,2025-04-03,CREDIT,34458.11,UPI,405757.29
300187,200547,2024-09-13,CREDIT,95357.64,ATM,3582406.68
300188,200112,2022-06-13,CREDIT,147602.29,IMPS,1248498.71
300189,200798,2022-10-18,CREDIT,27886.54,BRANCH,4388625.95
300190,200310,2024-12-14,CREDIT,88070.21,ATM,4065843.37
300191,200036,2023-07-27,CREDIT,96621.97,ATM,4789172.17
300192,200439,2024-08-10,DEBIT,42535.9,NEFT,4418868.2
300193,200729,2024-11-24,DEBIT,23200.12,IMPS,4666680.43
300194,200592,2022-06-10,CREDIT,167300.54,ONLINE,4293782.61
300195,200826,2024-12-07,CREDIT,100542.88,BRANCH,3467062.81
300196,200595,2022-07-01,DEBIT,2974.81,UPI,851710.63
300197,200577,2023-05-18,DEBIT,160615.96,ATM,1358901.74
300198,200325,2024-08-25,CREDIT,196160.68,ONLINE,1064028.47
300199,200640,2022-06-09,DEBIT,121224.65,BRANCH,3018127.15
300200,200307,2025-01-09,DEBIT,100791.31,UPI,2518347.88
300201,200534,2025-04-02,CREDIT,175695.33,ONLINE,4335466.45
300202,200728,2023-10-02,CREDIT,190508.11,IMPS,4763388.0
300203,200619,2022-04-19,CREDIT,150931.93,IMPS,2024597.02
300204,200109,2023-12-05,DEBIT,89146.04,BRANCH,2531999.59
300205,200372,2024-12-31,CREDIT,118485.06,UPI,4857596.03
300206,200357,2022-01-23,CREDIT,140216.98,IMPS,1381556.59
300207,200181,2024-08-18,DEBIT,38935.29,BRANCH,3962057.68
300208,200356,2024-07-18,CREDIT,89495.49,IMPS,1126586.89
300209,200676,2024-11-15,DEBIT,165981.27,IMPS,3407459.85
300210,200068,2024-08-18,DEBIT,130979.6,ONLINE,1268451.33
300211,200292,2025-03-21,DEBIT,82299.69,ONLINE,4418725.08
300212,200692,2023-11-10,DEBIT,132706.17,IMPS,2807608.98
300213,200181,2024-05-12,DEBIT,23732.66,NEFT,930075.24
300214,200466,2023-12-24,DEBIT,80359.37,ONLINE,1122233.69
300215,200434,2023-08-27,CREDIT,158646.39,UPI,2469499.05
300216,200464,2023-08-16,CREDIT,44179.71,BRANCH,4808029.33
300217,200681,2022-12-10,CREDIT,37273.71,BRANCH,3848326.0
300218,200914,2022-03-14,DEBIT,190168.65,UPI,2441804.06
300219,200534,2023-09-15,CREDIT,42058.54,UPI,1688926.86
300220,200066,2025-02-28,DEBIT,52257.62,UPI,2746567.83
300221,200021,2023-06-18,CREDIT,193926.23,UPI,3741929.99
300222,200612,2022-05-06,DEBIT,146968.24,ATM,3919750.98
300223,200384,2024-08-27,CREDIT,139949.35,BRANCH,1623381.69
300224,200812,2025-03-30,DEBIT,170599.98,ATM,3605935.76
300225,200615,2022-12-13,CREDIT,23253.03,IMPS,3289115.01
300226,200559,2025-03-19,DEBIT,141220.65,IMPS,4795581.9
300227,200039,2022-04-16,CREDIT,100787.35,BRANCH,4655485.91
300228,200285,2023-08-21,DEBIT,165847.21,IMPS,3947001.94
300229,200822,2022-02-25,CREDIT,101677.53,UPI,3617111.75
300230,200602,2023-08-11,CREDIT,124086.25,ATM,1370570.93
300231,200597,2024-09-19,CREDIT,95600.65,UPI,4229903.3
300232,200785,2022-06-18,DEBIT,95683.97,IMPS,2137814.77
300233,200336,2022-09-17,DEBIT,153617.2,ONLINE,1361566.59
300234,200188,2024-11-01,DEBIT,125750.42,ATM,1921111.71
300235,200671,2022-06-07,DEBIT,126689.31,UPI,4179759.48
300236,200243,2023-07-24,DEBIT,90111.47,BRANCH,743591.76
300237,200073,2023-06-01,CREDIT,106268.79,UPI,2281065.63
300238,200479,2022-09-29,DEBIT,149168.96,ONLINE,2462041.79
300239,200974,2023-07-30,CREDIT,165205.59,IMPS,183630.17
300240,200561,2023-07-18,CREDIT,139342.62,ATM,979132.27
300241,200101,2023-06-11,DEBIT,184822.19,BRANCH,4133798.77
300242,200514,2022-01-30,CREDIT,164082.79,ATM,4153921.56
300243,200756,2022-08-17,DEBIT,112416.57,BRANCH,1462429.21
300244,200176,2022-12-24,DEBIT,134314.07,ATM,4374548.72
300245,200238,2022-11-06,DEBIT,185269.02,IMPS,3859028.8
300246,200910,2024-07-03,CREDIT,123871.69,BRANCH,2089828.47
300247,200059,2024-01-28,DEBIT,164978.91,NEFT,3742157.52
300248,200865,2022-12-26,DEBIT,137793.22,ATM,4806692.49
300249,200099,2023-06-20,DEBIT,110432.08,ATM,2295119.11
300250,200954,2023-04-29,CREDIT,48443.46,UPI,1192516.68
300251,200871,2024-09-20,DEBIT,85256.9,BRANCH,4709111.59
300252,200954,2023-01-06,CREDIT,193551.79,ONLINE,3018919.57
300253,200495,2024-12-16,CREDIT,131587.3,NEFT,526773.18
300254,200947,2022-03-09,DEBIT,112922.64,IMPS,2863627.74
300255,200980,2023-12-04,CREDIT,186598.03,UPI,2503154.16
300256,200514,2022-06-22,CREDIT,117343.71,NEFT,4278016.68
300257,200755,2022-10-25,DEBIT,105263.9,BRANCH,2653710.6
300258,200297,2022-11-12,DEBIT,151886.24,NEFT,1276534.56
300259,200211,2024-10-12,DEBIT,142561.86,ATM,3378382.5
300260,200123,2024-04-25,CREDIT,38712.69,ATM,2713105.97
300261,200229,2024-02-24,DEBIT,94314.52,UPI,1165606.62
300262,200594,2023-05-03,CREDIT,94555.84,BRANCH,2868352.48
300263,200656,2024-06-20,CREDIT,75707.08,BRANCH,4107767.12
300264,200388,2022-12-09,CREDIT,103506.97,NEFT,143340.3
300265,200140,2023-03-08,CREDIT,82680.17,UPI,3154439.77
300266,200541,2025-03-29,CREDIT,39949.16,BRANCH,1748251.19
300267,200391,2023-12-08,DEBIT,82532.06,ONLINE,1463710.89
300268,200270,2022-04-22,DEBIT,14548.16,ONLINE,1963242.46
300269,200759,2023-06-26,CREDIT,115199.59,ATM,1710442.31
300270,200012,2022-08-26,CREDIT,170745.54,NEFT,4161279.41
300271,200867,2022-04-18,DEBIT,145084.89,IMPS,1374351.65
300272,200389,2022-12-10,DEBIT,72142.77,ATM,3665898.54
300273,200337,2024-08-08,CREDIT,17505.53,UPI,470752.07
300274,200506,2024-03-27,CREDIT,40509.66,BRANCH,4757006.16
300275,200106,2024-09-02,DEBIT,109143.52,ATM,3111772.03
300276,200032,2023-09-10,DEBIT,41490.71,IMPS,3533739.53
300277,200074,2024-09-02,CREDIT,108840.22,IMPS,1490547.64
300278,200171,2024-12-26,DEBIT,46396.65,ONLINE,2060776.8
300279,200849,2023-04-24,DEBIT,169799.88,UPI,1119280.04
300280,200069,2024-02-17,CREDIT,79514.57,ATM,4662714.16
300281,200813,2024-03-09,CREDIT,49185.57,NEFT,2440778.18
300282,200362,2024-08-29,CREDIT,162484.0,ATM,3152425.35
300283,200649,2023-06-22,DEBIT,68633.51,ONLINE,3671493.02
300284,200433,2022-10-25,CREDIT,22386.39,IMPS,1855844.9
300285,200929,2024-12-22,DEBIT,114124.86,UPI,3600648.22
300286,200996,2024-06-09,CREDIT,116354.68,UPI,3380124.45
300287,200100,2022-01-25,CREDIT,142967.67,NEFT,3528443.84
300288,200658,2023-08-15,DEBIT,48119.86,UPI,2446404.89
300289,200009,2024-07-08,DEBIT,88809.89,ONLINE,1914995.44
300290,200574,2024-02-22,CREDIT,56545.35,ONLINE,1110799.9
300291,200697,2023-10-09,CREDIT,16282.65,ONLINE,4123219.45
300292,200029,2024-12-21,DEBIT,175335.1,UPI,3041946.06
300293,200893,2022-03-26,CREDIT,145801.07,UPI,2222038.8
300294,200114,2022-07-19,DEBIT,60362.47,ONLINE,4720007.54
300295,200462,2024-12-24,DEBIT,119914.66,UPI,239670.14
300296,200921,2023-12-26,CREDIT,40332.63,UPI,4250934.64
300297,200143,2024-06-03,DEBIT,178058.3,IMPS,4987914.17
300298,200390,2023-07-13,DEBIT,23069.78,ATM,4434767.08
300299,200632,2023-11-18,DEBIT,867.05,BRANCH,4052277.71
300300,200682,2023-07-08,CREDIT,100451.44,UPI,1871842.81
300301,200157,2023-07-01,DEBIT,116667.25,BRANCH,1156955.25
300302,200335,2022-07-21,CREDIT,115835.17,BRANCH,3674385.18
300303,200861,2023-06-07,CREDIT,10996.93,IMPS,1523224.54
300304,200260,2025-04-11,CREDIT,62877.36,UPI,880610.39
300305,200082,2024-03-12,DEBIT,99889.87,ONLINE,3932736.17
300306,200754,2024-08-02,DEBIT,43394.18,BRANCH,1563061.99
300307,200441,2023-05-11,CREDIT,174537.91,UPI,4572251.43
300308,200945,2023-02-04,CREDIT,17513.15,NEFT,4203242.91
300309,200172,2024-11-30,DEBIT,97528.15,ONLINE,4238277.83
300310,200231,2023-11-23,CREDIT,138314.07,NEFT,3857962.85
300311,200720,2023-01-04,CREDIT,52424.04,NEFT,4404466.68
300312,200075,2023-10-04,DEBIT,124885.72,BRANCH,4028831.59
300313,200270,2025-01-26,CREDIT,165894.09,NEFT,3012755.56
300314,200899,2022-01-22,DEBIT,38148.36,IMPS,1479465.68
300315,200626,2022-01-18,DEBIT,183452.4,IMPS,4441101.86
300316,200062,2022-05-20,CREDIT,110756.35,BRANCH,4203097.81
300317,200874,2022-01-25,DEBIT,59916.48,UPI,2364660.17
300318,200320,2024-04-22,DEBIT,86228.57,ATM,195873.89
300319,200102,2022-07-20,DEBIT,62507.16,UPI,3192899.37
300320,200429,2024-12-11,CREDIT,145049.72,UPI,253458.97
300321,200874,2022-08-01,CREDIT,159280.5,UPI,4631436.67
300322,200722,2024-07-02,CREDIT,166604.18,UPI,4808175.47
300323,200954,2023-12-21,DEBIT,197155.07,ONLINE,947855.98
300324,200255,2023-03-26,DEBIT,158277.73,ATM,3382108.7
300325,200532,2023-08-04,CREDIT,120316.68,ONLINE,461798.89
300326,200570,2023-05-31,CREDIT,67910.14,NEFT,3647719.88
300327,200112,2023-01-31,DEBIT,108964.63,UPI,1736764.69
300328,200985,2022-03-11,CREDIT,8309.53,IMPS,3405410.03
300329,200313,2022-02-18,CREDIT,148990.53,BRANCH,1864696.11
300330,200998,2022-07-08,CREDIT,89246.51,BRANCH,728264.77
300331,200461,2022-04-27,CREDIT,4102.64,ONLINE,2030846.85
300332,200708,2023-03-21,CREDIT,12595.14,ONLINE,563811.3
300333,200887,2022-09-07,DEBIT,77554.55,IMPS,2884627.93
300334,200462,2022-09-03,CREDIT,116725.96,UPI,205237.18
300335,200865,2022-06-26,CREDIT,92894.37,ATM,2636834.74
300336,200092,2022-09-24,DEBIT,123878.94,NEFT,4431900.05
300337,200052,2024-02-09,DEBIT,96110.82,BRANCH,4189447.41
300338,200805,2025-03-05,DEBIT,132374.6,NEFT,4413967.11
300339,200520,2023-01-14,DEBIT,43903.3,ATM,4610282.99
300340,200812,2022-08-16,CREDIT,22657.35,ONLINE,523087.18
300341,200098,2023-01-13,CREDIT,119327.15,BRANCH,644171.64
300342,200236,2023-06-03,CREDIT,96989.43,NEFT,2785255.53
300343,200901,2023-08-27,CREDIT,5470.84,ONLINE,4469916.36
300344,200374,2024-08-14,DEBIT,76158.33,ATM,4871760.11
300345,200581,2022-06-05,DEBIT,21314.5,NEFT,231786.46
300346,200927,2024-07-17,CREDIT,106318.23,UPI,1779192.53
300347,200557,2023-07-21,CREDIT,79215.96,ONLINE,1064864.83
300348,200649,2024-05-24,CREDIT,122669.07,ATM,3779951.26
300349,200234,2023-10-25,CREDIT,161139.88,NEFT,3201149.25
300350,200032,2023-06-12,DEBIT,60003.77,UPI,599880.21
300351,200289,2022-11-28,CREDIT,192424.21,UPI,2417868.58
300352,200638,2022-06-01,DEBIT,107173.34,ATM,3427359.89
300353,200579,2023-07-22,DEBIT,123696.33,IMPS,3895137.47
300354,200542,2022-05-08,DEBIT,136166.41,BRANCH,100753.52
300355,200114,2024-02-23,DEBIT,133379.63,ATM,4452402.64
300356,200204,2024-03-06,CREDIT,102243.05,UPI,2846622.27
300357,200029,2023-11-13,CREDIT,85809.98,UPI,4059639.62
300358,200643,2022-05-04,CREDIT,10851.01,ATM,4039786.18
300359,200474,2023-06-13,CREDIT,4514.96,IMPS,949668.38
300360,200697,2023-06-27,DEBIT,71656.44,BRANCH,551305.52
300361,200253,2022-12-31,DEBIT,66798.81,NEFT,3606575.7
300362,200798,2024-06-21,DEBIT,77600.26,ATM,782556.38
300363,200905,2022-05-23,CREDIT,27759.8,BRANCH,4249762.49
300364,200922,2024-10-04,DEBIT,147659.84,BRANCH,3631084.32
300365,200386,2023-02-15,DEBIT,171407.19,ONLINE,4209205.91
300366,200062,2024-03-15,DEBIT,187749.06,UPI,1495413.89
300367,200515,2023-01-01,DEBIT,98523.22,NEFT,1583332.0
300368,200430,2024-10-04,CREDIT,140203.05,ATM,3356272.17
300369,200580,2022-08-11,DEBIT,171124.67,UPI,157714.05
300370,200537,2022-10-22,DEBIT,83716.39,ONLINE,3632620.48
300371,200691,2025-01-12,CREDIT,61951.62,ONLINE,4178997.46
300372,200141,2024-06-02,CREDIT,187351.24,UPI,2076110.35
300373,200743,2023-03-24,CREDIT,103183.74,IMPS,3824511.71
300374,200300,2022-08-06,DEBIT,99501.05,BRANCH,873467.28
300375,200675,2024-06-23,DEBIT,35765.38,ATM,1611640.84
300376,200311,2023-06-15,DEBIT,21720.19,ATM,4871537.66
300377,200471,2022-07-31,DEBIT,168437.16,ATM,4931647.7
300378,200393,2022-03-13,CREDIT,122865.22,UPI,2563268.96
300379,200642,2022-05-30,DEBIT,65232.33,IMPS,4671381.82
300380,200445,2022-05-25,DEBIT,38428.07,NEFT,2613892.02
300381,200758,2025-03-16,CREDIT,111143.91,ONLINE,1458294.85
300382,200809,2023-05-29,CREDIT,116825.47,UPI,1334862.99
300383,200172,2024-07-02,CREDIT,41478.02,NEFT,4647563.77
300384,200576,2022-02-08,DEBIT,170296.01,ONLINE,862645.72
300385,200031,2024-10-16,DEBIT,16944.45,ONLINE,2898372.47
300386,200047,2022-11-01,DEBIT,71283.01,IMPS,2777847.58
300387,200130,2022-01-02,DEBIT,136108.84,BRANCH,3698238.61
300388,200352,2022-03-19,DEBIT,54896.66,ATM,2496464.92
300389,200978,2024-03-10,CREDIT,165552.27,NEFT,1361792.16
300390,200845,2023-06-30,CREDIT,147999.58,UPI,847397.8
300391,200622,2022-11-07,DEBIT,157825.67,NEFT,3104283.61
300392,200581,2023-11-07,DEBIT,23909.4,BRANCH,3595094.29
300393,200058,2024-03-12,DEBIT,28195.37,ATM,2847821.63
300394,200106,2025-03-22,DEBIT,57366.1,NEFT,3691887.21
300395,200812,2022-01-08,DEBIT,103663.63,BRANCH,708035.25
300396,200330,2024-11-21,CREDIT,149628.41,UPI,4412409.74
300397,200768,2024-10-01,CREDIT,167322.53,IMPS,2912186.34
300398,200824,2024-09-06,CREDIT,140896.63,ONLINE,634656.21
300399,200683,2024-06-12,DEBIT,185726.52,UPI,2309895.06
300400,200383,2024-04-07,DEBIT,147774.83,ATM,4224036.29
300401,200985,2022-05-24,CREDIT,61322.95,ONLINE,4487862.19
